"region_id","parent_id","region_name_py","region_name_cn","region_type","agency_id","weight","status"
"245","18","Dalian","大连","2","0","0","1"
"246","18","Anshan","鞍山","2","0","0","1"
"247","18","Benxi","本溪","2","0","0","1"
"248","18","Zhaoyang","朝阳","2","0","0","1"
"249","18","Dandong","丹东","2","0","0","1"
"250","18","Fushun","抚顺","2","0","0","1"
"251","18","Fuxin","阜新","2","0","0","1"
"252","18","Huludao","葫芦岛","2","0","0","1"
"253","18","Jinzhou","锦州","2","0","0","1"
"254","18","Liaoyang","辽阳","2","0","0","1"
"255","18","Panjin","盘锦","2","0","0","1"
"256","18","Tieling","铁岭","2","0","0","1"
"257","18","Yingkou","营口","2","0","0","1"
"258","19","Huhehaote","呼和浩特","2","0","0","1"
"259","19","Alashanmeng","阿拉善盟","2","0","0","1"
"260","19","Bayannaoermeng","巴彦淖尔盟","2","0","0","1"
"261","19","Baotou","包头","2","0","0","1"
"262","19","Chifeng","赤峰","2","0","0","1"
"263","19","Eerduosi","鄂尔多斯","2","0","0","1"
"264","19","Hulunbeier","呼伦贝尔","2","0","0","1"
"265","19","Tongliao","通辽","2","0","0","1"
"266","19","Wuhai","乌海","2","0","0","1"
"267","19","Wulanchabu","乌兰察布市","2","0","0","1"
"268","19","Xilinguolemeng","锡林郭勒盟","2","0","0","1"
"269","19","Xinganmeng","兴安盟","2","0","0","1"
"270","20","Yinchuan","银川","2","0","0","1"
"271","20","Guyuan","固原","2","0","0","1"
"272","20","Shizuishan","石嘴山","2","0","0","1"
"273","20","Wuzhong","吴忠","2","0","0","1"
"274","20","Zhongwei","中卫","2","0","0","1"
"275","21","Xining","西宁","2","0","0","1"
"276","21","Guoluo","果洛","2","0","0","1"
"277","21","Haibei","海北","2","0","0","1"
"278","21","Haidong","海东","2","0","0","1"
"279","21","Hainan","海南","2","0","0","1"
"280","21","Haixi","海西","2","0","0","1"
"281","21","Huangnan","黄南","2","0","0","1"
"282","21","Yushu","玉树","2","0","0","1"
"283","22","Jinan","济南","2","0","0","1"
"284","22","Qingdao","青岛","2","0","0","1"
"285","22","Binzhou","滨州","2","0","0","1"
"286","22","Dezhou","德州","2","0","0","1"
"287","22","Dongying","东营","2","0","0","1"
"288","22","Heze","菏泽","2","0","0","1"
"289","22","Jining","济宁","2","0","0","1"
"290","22","Laiwu","莱芜","2","0","0","1"
"291","22","Liaocheng","聊城","2","0","0","1"
"292","22","Linyi","临沂","2","0","0","1"
"293","22","Rizhao","日照","2","0","0","1"
"294","22","Taian","泰安","2","0","0","1"
"295","22","Weihai","威海","2","0","0","1"
"296","22","Weifang","潍坊","2","0","0","1"
"297","22","Yantai","烟台","2","0","0","1"
"298","22","Zaozhuang","枣庄","2","0","0","1"
"299","22","Zibo","淄博","2","0","0","1"
"300","23","Taiyuan","太原","2","0","0","1"
"301","23","Changzhi","长治","2","0","0","1"
"302","23","Datong","大同","2","0","0","1"
"303","23","Jincheng","晋城","2","0","0","1"
"304","23","Jinzhong","晋中","2","0","0","1"
"305","23","Linfen","临汾","2","0","0","1"
"306","23","Luliang","吕梁","2","0","0","1"
"307","23","Shuozhou","朔州","2","0","0","1"
"308","23","Xinzhou","忻州","2","0","0","1"
"309","23","Yangquan","阳泉","2","0","0","1"
"310","23","Yuncheng","运城","2","0","0","1"
"311","24","Xian","西安","2","0","0","1"
"312","24","Ankang","安康","2","0","0","1"
"313","24","Baoji","宝鸡","2","0","0","1"
"314","24","Yizhong","汉中","2","0","0","1"
"315","24","Shangluo","商洛","2","0","0","1"
"316","24","Tongchuan","铜川","2","0","0","1"
"317","24","Weinan","渭南","2","0","0","1"
"318","24","Xianyang","咸阳","2","0","0","1"
"319","24","Yanan","延安","2","0","0","1"
"320","24","Yulin","榆林","2","0","0","1"
"321","25","Shanghai","上海","2","0","0","1"
"322","26","Chengdu","成都","2","0","0","1"
"323","26","Mianyang","绵阳","2","0","0","1"
"324","26","Aba","阿坝","2","0","0","1"
"325","26","Bazhong","巴中","2","0","0","1"
"326","26","Dazhou","达州","2","0","0","1"
"327","26","Deyang","德阳","2","0","0","1"
"328","26","Ganzi","甘孜","2","0","0","1"
"329","26","Guangan","广安","2","0","0","1"
"330","26","Guangyuan","广元","2","0","0","1"
"331","26","Leshan","乐山","2","0","0","1"
"332","26","Liangshan","凉山","2","0","0","1"
"333","26","Meishan","眉山","2","0","0","1"
"334","26","Nanchong","南充","2","0","0","1"
"335","26","Neijiang","内江","2","0","0","1"
"336","26","Panzhihua","攀枝花","2","0","0","1"
"337","26","Suining","遂宁","2","0","0","1"
"338","26","Yaan","雅安","2","0","0","1"
"339","26","Yibin","宜宾","2","0","0","1"
"340","26","Ziyang","资阳","2","0","0","1"
"341","26","Zigong","自贡","2","0","0","1"
"342","26","Luzhou","泸州","2","0","0","1"
"343","27","Tianjin","天津","2","0","0","1"
"344","28","Lasa","拉萨","2","0","0","1"
"345","28","Ali","阿里","2","0","0","1"
"346","28","Changdu","昌都","2","0","0","1"
"347","28","Linzhi","林芝","2","0","0","1"
"348","28","Naqu","那曲","2","0","0","1"
"349","28","Rikeze","日喀则","2","0","0","1"
"350","28","Shannan","山南","2","0","0","1"
"351","29","Wulumuqi","乌鲁木齐","2","0","0","1"
"352","29","Akesu","阿克苏","2","0","0","1"
"353","29","Alaer","阿拉尔","2","0","0","1"
"354","29","Bayinguoleng","巴音郭楞","2","0","0","1"
"355","29","Boertala","博尔塔拉","2","0","0","1"
"356","29","Changji","昌吉","2","0","0","1"
"357","29","Hami","哈密","2","0","0","1"
"358","29","Hetian","和田","2","0","0","1"
"359","29","Keshi","喀什","2","0","0","1"
"360","29","Kelamayi","克拉玛依","2","0","0","1"
"361","29","Kezilesu","克孜勒苏","2","0","0","1"
"362","29","Shihezi","石河子","2","0","0","1"
"363","29","Tumushuke","图木舒克","2","0","0","1"
"364","29","Tulufan","吐鲁番","2","0","0","1"
"365","29","Wujiaqu","五家渠","2","0","0","1"
"366","29","Yili","伊犁","2","0","0","1"
"367","30","Kunming","昆明","2","0","0","1"
"368","30","Nujiang","怒江","2","0","0","1"
"369","30","Puer","普洱","2","0","0","1"
"370","30","Lijiang","丽江","2","0","0","1"
"371","30","Baoshan","保山","2","0","0","1"
"372","30","Chuxiong","楚雄","2","0","0","1"
"373","30","Dali","大理","2","0","0","1"
"374","30","Dehong","德宏","2","0","0","1"
"375","30","Diqing","迪庆","2","0","0","1"
"376","30","Honghe","红河","2","0","0","1"
"377","30","Lincang","临沧","2","0","0","1"
"378","30","Qujing","曲靖","2","0","0","1"
"379","30","Wenshan","文山","2","0","0","1"
"380","30","Xishuangbanna","西双版纳","2","0","0","1"
"381","30","Yuxi","玉溪","2","0","0","1"
"382","30","Zhaotong","昭通","2","0","0","1"
"383","31","Hangzhou","杭州","2","0","0","1"
"384","31","Huzhou","湖州","2","0","0","1"
"385","31","Jiaxing","嘉兴","2","0","0","1"
"386","31","Jinhua","金华","2","0","0","1"
"387","31","Lishui","丽水","2","0","0","1"
"388","31","Ningbo","宁波","2","0","0","1"
"389","31","Shaoxing","绍兴","2","0","0","1"
"390","31","Taizhou","台州","2","0","0","1"
"391","31","Wenzhou","温州","2","0","0","1"
"392","31","Zhoushan","舟山","2","0","0","1"
"393","31","Quzhou","衢州","2","0","0","1"
"394","32","Chongqing","重庆","2","0","0","1"
"395","33","Xianggang","香港","2","0","0","1"
"396","34","Aomen","澳门","2","0","0","1"
"397","35","Taiwan","台湾","2","0","0","1"
"398","36","Yingjiang","迎江区","3","0","0","1"
"399","36","Daguan","大观区","3","0","0","1"
"400","36","Yixiu","宜秀区","3","0","0","1"
"401","36","Tongcheng","桐城市","3","0","0","1"
"402","36","Huaining","怀宁县","3","0","0","1"
"403","36","Congyang","枞阳县","3","0","0","1"
"404","36","Qianshan","潜山县","3","0","0","1"
"405","36","Taihu","太湖县","3","0","0","1"
"406","36","Susong","宿松县","3","0","0","1"
"407","36","Wangjiang","望江县","3","0","0","1"
"408","36","Yuexi","岳西县","3","0","0","1"
"409","37","Zhongshi","中市区","3","0","0","1"
"410","37","Dongshi","东市区","3","0","0","1"
"411","37","Xishi","西市区","3","0","0","1"
"412","37","Jiaoqu","郊区","3","0","0","1"
"413","37","Huaiyuan","怀远县","3","0","0","1"
"414","37","Wuhe","五河县","3","0","0","1"
"415","37","Guzhen","固镇县","3","0","0","1"
"416","38","Juchao","居巢区","3","0","0","1"
"417","38","Lujiang","庐江县","3","0","0","1"
"418","38","Wuwei","无为县","3","0","0","1"
"419","38","Hanshan","含山县","3","0","0","1"
"420","38","Hexian","和县","3","0","0","1"
"421","39","Guichi","贵池区","3","0","0","1"
"422","39","Dongzhi","东至县","3","0","0","1"
"423","39","Shitai","石台县","3","0","0","1"
"424","39","Qingyang","青阳县","3","0","0","1"
"425","40","Langye","琅琊区","3","0","0","1"
"426","40","Nanqiao","南谯区","3","0","0","1"
"427","40","Tianchang","天长市","3","0","0","1"
"428","40","Mingguang","明光市","3","0","0","1"
"429","40","Laian","来安县","3","0","0","1"
"430","40","Quanjiao","全椒县","3","0","0","1"
"431","40","Dingyuan","定远县","3","0","0","1"
"432","40","Fengyang","凤阳县","3","0","0","1"
"433","41","Bangshan","蚌山区","3","0","0","1"
"434","41","Longzihu","龙子湖区","3","0","0","1"
"435","41","Yuhui","禹会区","3","0","0","1"
"436","41","Huaishang","淮上区","3","0","0","1"
"437","41","Yingzhou","颍州区","3","0","0","1"
"438","41","Yingdong","颍东区","3","0","0","1"
"439","41","Yingquan","颍泉区","3","0","0","1"
"440","41","Jieshou","界首市","3","0","0","1"
"441","41","Linquan","临泉县","3","0","0","1"
"442","41","Taihe","太和县","3","0","0","1"
"443","41","Funan","阜南县","3","0","0","1"
"444","41","Yingshang","颖上县","3","0","0","1"
"445","42","Xiangshan","相山区","3","0","0","1"
"446","42","Duji","杜集区","3","0","0","1"
"447","42","Lieshan","烈山区","3","0","0","1"
"448","42","Suixi","濉溪县","3","0","0","1"
"449","43","Tianjiaan","田家庵区","3","0","0","1"
"450","43","Datong","大通区","3","0","0","1"
"451","43","Xiejiaji","谢家集区","3","0","0","1"
"452","43","Bagongshan","八公山区","3","0","0","1"
"453","43","Panji","潘集区","3","0","0","1"
"454","43","Fengtai","凤台县","3","0","0","1"
"455","44","Tunxi","屯溪区","3","0","0","1"
"456","44","Huangshan","黄山区","3","0","0","1"
"457","44","Huizhou","徽州区","3","0","0","1"
"458","44","Xixian","歙县","3","0","0","1"
"459","44","Xiuning","休宁县","3","0","0","1"
"460","44","Yixian","黟县","3","0","0","1"
"461","44","Qimen","祁门县","3","0","0","1"
"462","45","Jinan","金安区","3","0","0","1"
"463","45","Yuan","裕安区","3","0","0","1"
"464","45","Shouxian","寿县","3","0","0","1"
"465","45","Huoqiu","霍邱县","3","0","0","1"
"466","45","Shucheng","舒城县","3","0","0","1"
"467","45","Jinzhai","金寨县","3","0","0","1"
"468","45","Huoshan","霍山县","3","0","0","1"
"469","46","Yushan","雨山区","3","0","0","1"
"470","46","Huashan","花山区","3","0","0","1"
"471","46","Jinjiazhuang","金家庄区","3","0","0","1"
"472","46","Dangtu","当涂县","3","0","0","1"
"473","47","Yongqiao","埇桥区","3","0","0","1"
"474","47","Dangshan","砀山县","3","0","0","1"
"475","47","Xiaoxian","萧县","3","0","0","1"
"476","47","Lingbi","灵璧县","3","0","0","1"
"477","47","Sixian","泗县","3","0","0","1"
"478","48","Tongguanshan","铜官山区","3","0","0","1"
"479","48","Shizishan","狮子山区","3","0","0","1"
"480","48","Jiaoqu","郊区","3","0","0","1"
"481","48","Tongling","铜陵县","3","0","0","1"
"482","49","Jinghu","镜湖区","3","0","0","1"
"483","49","Yijiang","弋江区","3","0","0","1"
"484","49","Jiujiang","鸠江区","3","0","0","1"
"485","49","Sanshan","三山区","3","0","0","1"
"486","49","Wuhu","芜湖县","3","0","0","1"
"487","49","Fanchang","繁昌县","3","0","0","1"
"488","49","Nanling","南陵县","3","0","0","1"
"489","50","Xuanzhou","宣州区","3","0","0","1"
"490","50","Ningguo","宁国市","3","0","0","1"
"491","50","Langxi","郎溪县","3","0","0","1"
"492","50","Guangde","广德县","3","0","0","1"
"493","50","Jingxian","泾县","3","0","0","1"
"494","50","Jixi","绩溪县","3","0","0","1"
"495","50","Jingde","旌德县","3","0","0","1"
"496","51","Woyang","涡阳县","3","0","0","1"
"497","51","Mengcheng","蒙城县","3","0","0","1"
"498","51","Lixin","利辛县","3","0","0","1"
"499","51","Qiaocheng","谯城区","3","0","0","1"
"500","52","Dongcheng","东城区","3","0","0","1"
"501","52","Xicheng","西城区","3","0","0","1"
"502","52","Haidian","海淀区","3","0","0","1"
"503","52","Zhaoyang","朝阳区","3","0","0","1"
"504","52","Chongwen","崇文区","3","0","0","1"
